Gain [dB], SNR [dB]
0.000000000000000000e+00,-3.033993119249993953e+01
5.000000000000000000e+00,-3.193629295515512467e+01
1.000000000000000000e+01,-3.300257919201945356e+01
1.500000000000000000e+01,-3.149465538543347876e+01
2.000000000000000000e+01,-3.192553566645833030e+01
2.500000000000000000e+01,-3.157424095244850903e+01
3.000000000000000000e+01,-3.216153759657748878e+01
3.500000000000000000e+01,-3.234198711231285017e+01
4.000000000000000000e+01,-3.176634657395362638e+01
4.500000000000000000e+01,-3.177286605455994817e+01
5.000000000000000000e+01,-3.222915628395081455e+01
5.500000000000000000e+01,-3.148437439035595276e+01
