Gain [dB], SNR [dB]
0.000000000000000000e+00,-3.218850139794105303e+01
5.000000000000000000e+00,-3.197447767918153971e+01
1.000000000000000000e+01,-3.222344406194575583e+01
1.500000000000000000e+01,-3.173911774561669574e+01
2.000000000000000000e+01,-3.146827237769187491e+01
2.500000000000000000e+01,-3.196916603862266371e+01
3.000000000000000000e+01,-3.207556938362989740e+01
3.500000000000000000e+01,-3.276096592454246093e+01
4.000000000000000000e+01,-3.420661279154771961e+01
4.500000000000000000e+01,-3.335224598589619660e+01
5.000000000000000000e+01,-3.200171680489859938e+01
5.500000000000000000e+01,-3.206718757973634126e+01
