Gain [dB], Signal Power [dB]
0.000000000000000000e+00,-6.419670430334906541e+01
5.000000000000000000e+00,-6.168158604363777897e+01
1.000000000000000000e+01,-5.958347691776295108e+01
1.500000000000000000e+01,-5.913821615225410255e+01
2.000000000000000000e+01,-5.606617942857964465e+01
2.500000000000000000e+01,-5.477632584039582753e+01
3.000000000000000000e+01,-5.458908298156358541e+01
3.500000000000000000e+01,-5.059235330147232190e+01
4.000000000000000000e+01,-4.550610357047474963e+01
4.500000000000000000e+01,-3.920290791623791193e+01
5.000000000000000000e+01,-3.362193321706850213e+01
5.500000000000000000e+01,-2.961358856112325100e+01
