Gain [dB], Signal Power [dB]
-2.000000000000000000e+01,-4.221387765836122696e+01
-1.500000000000000000e+01,-4.246388382558229324e+01
-1.000000000000000000e+01,-4.246292091002004554e+01
-5.000000000000000000e+00,-4.242702783857077975e+01
0.000000000000000000e+00,-4.130161900513926554e+01
5.000000000000000000e+00,-3.634112315672944504e+01
1.000000000000000000e+01,-3.104966856542426967e+01
1.500000000000000000e+01,-2.615144330584544008e+01
2.000000000000000000e+01,-2.179940343677928993e+01
2.500000000000000000e+01,-1.700307171089480462e+01
3.000000000000000000e+01,-1.152085415584187267e+01
3.500000000000000000e+01,-6.977414850673388180e+00
